GM_CODE,GM_NAAM,Elevation (m)
GM0003,Appingedam,0.48
GM0010,Delfzijl,2.03
GM0014,Groningen,14.02
GM0024,Loppersum,2
GM0034,Almere,1.92
GM0037,Stadskanaal,5.03
GM0047,Veendam,2.38
GM0050,Zeewolde,-1.05
GM0059,Achtkarspelen,1
GM0060,Ameland,-1
GM0072,Harlingen,7.09
GM0074,Heerenveen,0
GM0080,Leeuwarden,4.85
GM0085,Ooststellingwerf,4
GM0086,Opsterland,6.14
GM0088,Schiermonnikoog,-0.42
GM0090,Smallingerland,0
GM0093,Terschelling,3
GM0096,Vlieland,0.2
GM0098,Weststellingwerf,0
GM0106,Assen,14.29
GM0109,Coevorden,13.87
GM0114,Emmen,22.66
GM0118,Hoogeveen,11.89
GM0119,Meppel,4.4
GM0141,Almelo,12.99
GM0147,Borne,17
GM0148,Dalfsen,4.57
GM0150,Deventer,9.81
GM0153,Enschede,43.38
GM0158,Haaksbergen,10.05
GM0160,Hardenberg,12
GM0163,Hellendoorn,10.96
GM0164,Hengelo,18.43
GM0166,Kampen,5.61
GM0168,Losser,37.64
GM0171,Noordoostpolder,-5
GM0173,Oldenzaal,47.29
GM0175,Ommen,11.37
GM0177,Raalte,6
GM0180,Staphorst,0.67
GM0183,Tubbergen,24
GM0184,Urk,2.82
GM0189,Wierden,12
GM0193,Zwolle,4.81
GM0197,Aalten,31.13
GM0200,Apeldoorn,17.66
GM0202,Arnhem,32.67
GM0203,Barneveld,11.18
GM0209,Beuningen,9.97
GM0213,Brummen,13.7
GM0214,Buren,5
GM0216,Culemborg,14.38
GM0221,Doesburg,13.59
GM0222,Doetinchem,16
GM0225,Druten,7.18
GM0226,Duiven,10.01
GM0228,Ede,22.99
GM0230,Elburg,4.09
GM0232,Epe,12.69
GM0233,Ermelo,15.73
GM0243,Harderwijk,5
GM0244,Hattem,6.17
GM0246,Heerde,6.55
GM0252,Heumen,12
GM0262,Lochem,16.34
GM0263,Maasdriel,5
GM0267,Nijkerk,5.01
GM0268,Nijmegen,14
GM0269,Oldebroek,2.92
GM0273,Putten,18.46
GM0274,Renkum,23.98
GM0275,Rheden,17.84
GM0277,Rozendaal,49.77
GM0279,Scherpenzeel,10
GM0281,Tiel,7
GM0285,Voorst,6
GM0289,Wageningen,12.32
GM0293,Westervoort,12
GM0294,Winterswijk,36.94
GM0296,Wijchen,9.1
GM0297,Zaltbommel,9.01
GM0299,Zevenaar,13.79
GM0301,Zutphen,13.7
GM0302,Nunspeet,7.29
GM0303,Dronten,-1.01
GM0307,Amersfoort,6.59
GM0308,Baarn,7.14
GM0310,De Bilt,-1
GM0312,Bunnik,1
GM0313,Bunschoten,1
GM0317,Eemnes,2
GM0321,Houten,4.84
GM0327,Leusden,4.56
GM0331,Lopik,0.12
GM0335,Montfoort,1
GM0339,Renswoude,9
GM0340,Rhenen,48.88
GM0342,Soest,16.51
GM0344,Utrecht,13.24
GM0345,Veenendaal,10.75
GM0351,Woudenberg,4
GM0352,Wijk bij Duurstede,7
GM0353,IJsselstein,2.36
GM0355,Zeist,5
GM0356,Nieuwegein,1.36
GM0358,Aalsmeer,-3.64
GM0361,Alkmaar,2.07
GM0362,Amstelveen,-3.9
GM0363,Amsterdam,9.47
GM0370,Beemster,-1
GM0373,Bergen (NH.),1.57
GM0375,Beverwijk,3.23
GM0376,Blaricum,7.66
GM0377,Bloemendaal,7.32
GM0383,Castricum,1.51
GM0384,Diemen,2.33
GM0385,Edam-Volendam,1
GM0388,Enkhuizen,1.28
GM0392,Haarlem,-1
GM0394,Haarlemmermeer,-3.94
GM0396,Heemskerk,0.64
GM0397,Heemstede,1.67
GM0398,Heerhugowaard,-1.92
GM0399,Heiloo,3.18
GM0400,Den Helder,2.37
GM0402,Hilversum,23.35
GM0405,Hoorn,1.15
GM0406,Huizen,4.93
GM0415,Landsmeer,-1.71
GM0416,Langedijk,0
GM0417,Laren,5.2
GM0420,Medemblik,-1.25
GM0431,Oostzaan,0.51
GM0432,Opmeer,0.45
GM0437,Ouder-Amstel,-4
GM0439,Purmerend,1.15
GM0441,Schagen,1.4
GM0448,Texel,5
GM0450,Uitgeest,1.01
GM0451,Uithoorn,-3.53
GM0453,Velsen,11.44
GM0457,Weesp,3.02
GM0473,Zandvoort,5.71
GM0479,Zaanstad,-3.49
GM0482,Alblasserdam,-0.35
GM0484,Alphen aan den Rijn,1
GM0489,Barendrecht,1.5
GM0498,Drechterland,-1
GM0501,Brielle,2.65
GM0502,Capelle aan den IJssel,-1.41
GM0503,Delft,4.26
GM0505,Dordrecht,4.17
GM0512,Gorinchem,2.73
GM0513,Gouda,13.49
GM0518,'s-Gravenhage,2.9
GM0523,Hardinxveld-Giessendam,-4
GM0530,Hellevoetsluis,0.02
GM0531,Hendrik-Ido-Ambacht,-1.22
GM0532,Stede Broec,-1
GM0534,Hillegom,1.22
GM0537,Katwijk,4
GM0542,Krimpen aan den IJssel,0
GM0546,Leiden,3.75
GM0547,Leiderdorp,1
GM0553,Lisse,0.48
GM0556,Maassluis,0.99
GM0569,Nieuwkoop,-2.5
